Health Service Area,HSA_Code,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Scott (Davenport), IA - Muscatine, IA(7)",641,537.5,519,556.4,N/A , N/A , N/A,687,stable,-0.4,-0.7,0
"Wood (Parkersburg), WV - Jackson, WV(6)",863,537.4,517.5,558,N/A , N/A , N/A,594,stable,0.7,-0.6,2.8
"Rabun, GA(7)",268,537.4,481.8,599,N/A , N/A , N/A,79,stable,0.8,-0.2,1.9
"Clark (Springfield), OH - Champaign, OH(6)",346,537.2,517.7,557.3,N/A , N/A , N/A,609,stable,-1.9,-4.7,0.3
"Des Moines, IA - Henry, IA(7)",917,537.1,504.6,571.4,N/A , N/A , N/A,216,falling,-0.8,-3.7,-0.3
"Christian (Hopkinsville), KY - Hopkins, KY(7)",45,537.1,517.8,556.9,N/A , N/A , N/A,621,falling,-1,-1.4,-0.7
"Richmond (South Augusta), GA - Columbia, GA(7)",830,536.9,522.6,551.5,N/A , N/A , N/A,1175,stable,-1.9,-4.9,0.7
"Guilford (Greensboro), NC - Davidson, NC(6)",186,536.9,528,546,N/A , N/A , N/A,2916,falling,-1,-3,-0.6
"Mercer, NJ(7)",126,536.8,522.5,551.4,N/A , N/A , N/A,1124,falling,-1,-1.5,-0.6
"Hillsborough (Tampa), FL - Pinellas, FL(6)",227,536.8,532.2,541.3,N/A , N/A , N/A,11178,falling,-0.8,-1,-0.5
"Licking (Newark), OH - Knox, OH(6)",388,536.7,519.3,554.6,N/A , N/A , N/A,771,stable,-0.5,-2.4,0.8
"Lamar, TX - Red River, TX(7)",931,536.7,506.1,568.8,N/A , N/A , N/A,244,falling,-1.1,-1.7,-0.5
"Catawba (Hickory), NC - Burke, NC(6)",229,536.6,522.4,551.1,N/A , N/A , N/A,1164,stable,-0.3,-0.8,0.2
"Lawrence, TN - Wayne, TN(6)",232,536.1,505.2,568.6,N/A , N/A , N/A,237,stable,0,-0.9,0.8
"Henry, GA - Forsyth, GA(7)",825,535.7,525.3,546.3,N/A , N/A , N/A,2181,falling,-0.7,-1,-0.4
"Grayson (Sherman), TX - Fannin, TX(7)",930,535.5,515.4,556.2,N/A , N/A , N/A,568,falling,-0.7,-1.2,-0.3
"Beltrami, MN - Clearwater, MN(6)",597,535.4,498.9,574,N/A , N/A , N/A,171,stable,-0.6,-1.5,0.4
"Butler, AL(6)",259,535.4,475.4,601.3,N/A , N/A , N/A,63,stable,0,-1.7,1.6
"Beadle, SD - Hand, SD(6)",600,535.3,485,589.7,N/A , N/A , N/A,91,stable,0.5,-14.5,9.6
"Stephens, GA - Hart, GA(7)",216,535.2,505.9,565.9,N/A , N/A , N/A,270,stable,-0.3,-0.8,0.2
"St. Louis (Duluth), MN - Itasca, MN(6)",289,535.2,521.7,549,N/A , N/A , N/A,1310,stable,-0.4,-0.8,0.1
"Ouachita, AR - Dallas, AR(6)",496,535.2,488.1,585.9,N/A , N/A , N/A,105,stable,-0.8,-2.6,1
"Cattaraugus, NY - Allegany, NY(7)",35,534.7,511.9,558.4,N/A , N/A , N/A,453,falling,-0.6,-1,-0.2
"Cabarrus (Concord), NC - Rowan, NC(6)",235,533.7,520.2,547.5,N/A , N/A , N/A,1274,falling,-1.2,-1.9,-0.6
"Tift, GA - Ben Hill, GA(7)",189,533.2,501.9,566,N/A , N/A , N/A,229,falling,-0.8,-1.4,-0.1
"Pipestone, MN - Rock, MN(6)",984,533,476.4,595,N/A , N/A , N/A,68,stable,-0.6,-1.7,0.5
"Allegany (Cumberland), MD - Garrett, MD(6)",1,533,508.3,558.6,N/A , N/A , N/A,371,stable,-0.2,-1,0.7
"Linn (Cedar Rapids), IA - Johnson, IA(7)",545,532.5,520,545.2,N/A , N/A , N/A,1463,rising,1.3,0.3,3.1
"Cumberland (Fayetteville), NC - Sampson, NC(6)",262,532.3,516.9,548.1,N/A , N/A , N/A,965,stable,-0.3,-0.7,0.2
"Crawford, IL - Lawrence, IL(7)",310,531.8,488.8,577.8,N/A , N/A , N/A,118,stable,-0.3,-1.5,0.9
"New Hanover (Wilmington), NC - Brunswick, NC(6)",168,531.6,519.4,544.1,N/A , N/A , N/A,1608,stable,0.2,-0.2,0.6
"Wayne, GA - Appling, GA(7)",230,531.5,493.5,571.7,N/A , N/A , N/A,155,stable,-0.8,-1.4,0
"Marion, SC - Dillon, SC(6)",199,531.4,496.2,568.7,N/A , N/A , N/A,186,stable,-0.9,-1.8,0.1
"Choctaw, OK(6)",438,531.1,465.8,603.8,N/A , N/A , N/A,52,stable,0.6,-3.6,5.5
"Yellowstone (Billings), MT - Big Horn, MT(6)",691,530.9,512.8,549.5,N/A , N/A , N/A,698,falling,-5.9,-9.1,-2.6
"Iredell (Statesville), NC - Alexander, NC(6)",192,530.8,512.8,549.3,N/A , N/A , N/A,709,stable,0.1,-1.2,2.1
"Belmont, OH - Monroe, OH(6)",24,530.7,503.3,559.3,N/A , N/A , N/A,304,rising,3.1,0.6,8.1
"Rock (Janesville), WI - Green, WI(6)",326,530.7,512.8,549.1,N/A , N/A , N/A,711,stable,-0.4,-0.9,0.2
"St. Clair (Belleville), IL - Clinton, IL(7)",325,530.7,516.4,545.3,N/A , N/A , N/A,1125,falling,-1,-1.4,-0.7
"Kanawha (Charleston), WV - Putnam, WV(6)",7,530.6,516.1,545.5,N/A , N/A , N/A,1100,falling,-1,-1.5,-0.5
"Floyd, GA - Bartow, GA(7)",154,530.6,515.3,546.2,N/A , N/A , N/A,980,falling,-1,-1.4,-0.5
"Fairfield (Lancaster), OH - Athens, OH(6)",368,530.1,513.2,547.4,N/A , N/A , N/A,796,stable,-0.3,-0.9,0.2
"Sumter, GA - Crisp, GA(7)",197,530,501.6,559.7,N/A , N/A , N/A,278,stable,-0.4,-1.1,0.2
"Grant, ND(6)",670,530,387,720.2,N/A , N/A , N/A,12,stable,-0.1,-4.7,4.4
"Maury, TN - Giles, TN(6)",208,529.7,509.6,550.4,N/A , N/A , N/A,572,stable,-0.3,-0.9,0.4
"Escambia (Pensacola), FL - Okaloosa, FL(6)",892,529.6,520,539.4,N/A , N/A , N/A,2486,stable,-0.4,-0.9,0.1
"Winn, LA(7)",530,529.4,463.2,603,N/A , N/A , N/A,49,stable,-1.4,-3.2,0.2
"Lincoln, LA - Union, LA(7)",439,529.1,502,557.4,N/A , N/A , N/A,302,stable,-0.6,-1.1,0
"Tompkins, NY - Cortland, NY(7)",105,529.1,506.1,552.9,N/A , N/A , N/A,428,stable,2.9,-0.1,7.3
"Columbiana, OH(6)",380,528.9,504.4,554.5,N/A , N/A , N/A,379,stable,1.2,-1.1,5.2
"Broome (Binghamton), NY - Tioga, NY(7)",19,528.6,512.4,545.3,N/A , N/A , N/A,867,stable,1.5,-0.5,5
"Nash, NC - Halifax, NC(6)",214,528.5,510.7,546.8,N/A , N/A , N/A,729,falling,-0.8,-1.2,-0.4
"Harrison (Marshall), TX - Cass, TX(7)",485,528.3,503.8,553.8,N/A , N/A , N/A,377,stable,2,-0.5,6.1
"Bell (Killeen), TX - Coryell, TX(7)",452,528.2,514.1,542.5,N/A , N/A , N/A,1135,falling,-0.8,-1.3,-0.3
"Muscogee (Columbus), GA - Harris, GA(7)",893,528,510.7,545.8,N/A , N/A , N/A,754,falling,-0.7,-1.2,-0.2
"Lycoming (Williamsport), PA - Clinton, PA(6)",44,528,507.3,549.3,N/A , N/A , N/A,526,stable,-0.5,-1.2,0.1
"Greene, TN - Cocke, TN(6)",252,527.6,503.6,552.6,N/A , N/A , N/A,398,stable,0.2,-0.5,0.8
"Morgan (Decatur), AL - Lawrence, AL(6)",185,527.6,506.5,549.3,N/A , N/A , N/A,505,falling,-1.2,-1.9,-0.4
"Ramsey (St. Paul), MN - Dakota, MN(6)",286,527.5,519.7,535.5,N/A , N/A , N/A,3670,rising,1,0.2,2.2
"Columbia, NY - Greene, NY(7)",881,527.2,504.9,550.4,N/A , N/A , N/A,465,falling,-1,-1.6,-0.3
"Marion, MO - Pike, MO(6)",920,526.8,495.6,559.6,N/A , N/A , N/A,225,stable,-0.4,-1,0.2
"Juneau, WI - Adams, WI(6)",391,526.7,494,561.5,N/A , N/A , N/A,217,stable,-0.6,-1.4,0.2
"Berks, PA(6)",139,526.4,513.6,539.5,N/A , N/A , N/A,1356,falling,-0.6,-1,-0.3
"Harlan, KY - Bell, KY(7)",96,526.2,490.7,563.8,N/A , N/A , N/A,177,stable,-0.4,-1.3,0.5
"Audrain, MO - Montgomery, MO(6)",666,526.1,488.2,566.4,N/A , N/A , N/A,156,falling,-9.8,-14.2,-7.5
"Wayne (Detroit), MI - Oakland, MI(6)",274,526,521.6,530.4,N/A , N/A , N/A,11883,falling,-1.7,-2,-1.4
"Jasper (Joplin), MO - Newton, MO(6)",938,525.6,507.3,544.4,N/A , N/A , N/A,655,stable,0.3,-0.5,1.2
"Cheshire, NH(6)",90,525.1,496.3,555.3,N/A , N/A , N/A,276,stable,-0.2,-1.2,0.8
"Steuben, NY - Chemung (Elmira), NY(7)",65,525,507.2,543.4,N/A , N/A , N/A,706,falling,-0.8,-1.2,-0.4
"Forsyth (Winston-Salem), NC - Surry, NC(6)",149,524.9,513.7,536.1,N/A , N/A , N/A,1802,stable,0.8,-0.2,2
"Yancey, NC - Avery, NC(6)",240,524.6,492.4,558.7,N/A , N/A , N/A,213,stable,3.2,0,7
"Crittenden (West Memphis), AR - St. Francis, AR(6)",499,524.1,496.8,552.6,N/A , N/A , N/A,293,rising,2.5,1.3,4.7
"Sussex, DE - Kent, DE(6)",3,524,512,536.4,N/A , N/A , N/A,1624,falling,-1.9,-2.4,-1.5
"Whatcom, WA(7)",815,523.9,506.2,542.2,N/A , N/A , N/A,702,rising,1.9,0.3,4.8
"Mecklenburg (Charlotte), NC - Union, NC(6)",167,523.9,515.3,532.5,N/A , N/A , N/A,3177,falling,-0.7,-1.2,-0.4
"Harrison, WV - Upshur, WV(6)",92,523.7,502.7,545.5,N/A , N/A , N/A,496,stable,-0.5,-1.1,0.2
"Glynn, GA - Camden, GA(7)",890,523.7,504.3,543.6,N/A , N/A , N/A,590,stable,0.6,-0.9,3.6
"Wabash, IL(7)",273,523.5,452.5,603.6,N/A , N/A , N/A,43,stable,-1.1,-2.3,0.1
"Winneshiek, IA(7)",395,523.5,469.5,582.7,N/A , N/A , N/A,77,stable,-0.2,-0.9,0.6
"Lucas (Toledo), OH - Wood, OH(6)",903,523,512.4,533.9,N/A , N/A , N/A,1973,stable,-0.8,-4.5,0.5
"Clarke (Athens), GA - Barrow, GA(7)",829,522.8,507.4,538.6,N/A , N/A , N/A,940,falling,-0.8,-1,-0.5
"Madison (Jackson), TN - Gibson, TN(6)",188,522.7,506.6,539.2,N/A , N/A , N/A,849,falling,-5.6,-9.2,-3.7
"Whitfield, GA - Murray, GA(7)",145,522.6,499.3,546.8,N/A , N/A , N/A,400,stable,2,-0.8,6.8
"Dubuque (Dubuque), IA - Jackson, IA(7)",909,522.6,498.7,547.5,N/A , N/A , N/A,383,stable,-0.3,-2.1,1.5
"OBrien, IA - Osceola, IA(7)",652,522.3,468.8,580.8,N/A , N/A , N/A,76,stable,-0.6,-1.2,0
"Olmsted (Rochester), MN - Winona, MN(6)",941,522.1,508,536.5,N/A , N/A , N/A,1092,falling,-3.6,-5.3,-2.2
"Alcorn, MS - Tishomingo, MS(6)",498,521.7,487.3,558,N/A , N/A , N/A,181,stable,-0.6,-1.9,0.7
"Hamilton (Chattanooga), TN - Marion, TN(6)",885,521.7,508.6,534.9,N/A , N/A , N/A,1297,falling,-1.4,-2.8,-0.9
"Lincoln, MS - Copiah, MS(6)",511,521.7,488.3,556.8,N/A , N/A , N/A,197,falling,-1.5,-2.8,-0.3
"Richland (Mansfield), OH - Ashland, OH(6)",369,521.6,502.6,541.1,N/A , N/A , N/A,602,rising,1.1,0.2,3.8
"Sumner (Hendersonville), TN - Wilson, TN(6)",231,521.2,507.5,535.3,N/A , N/A , N/A,1178,falling,-1,-1.5,-0.6
"Saline, IL - Gallatin, IL(7)",384,521,481.8,563,N/A , N/A , N/A,141,stable,-0.8,-1.6,0
"Crawford, PA(6)",117,520.8,493.9,548.9,N/A , N/A , N/A,311,falling,-0.9,-1.5,-0.3
"Warren, KY - Logan, KY(7)",29,520.8,502.2,539.8,N/A , N/A , N/A,633,falling,-0.9,-1.5,-0.3
"Anderson (Oak Ridge), TN - Roane, TN(6)",226,520.7,504.3,537.6,N/A , N/A , N/A,815,falling,-1.5,-2.7,-0.9
"Pierce, WA(7)",794,520.7,511.1,530.4,N/A , N/A , N/A,2411,stable,-0.4,-0.9,0.6
"Douglas (Omaha), NE - Sarpy, NE(6)",542,520.6,511,530.4,N/A , N/A , N/A,2378,falling,-2.3,-3.9,-1.2
"Clinton, NY - Franklin, NY(7)",81,520.6,501.4,540.4,N/A , N/A , N/A,596,falling,-1.1,-1.6,-0.6
"Ware, GA - Pierce, GA(7)",174,520.4,489.3,553.2,N/A , N/A , N/A,220,falling,-0.9,-1.5,-0.3
"Oglala Lakota, SD - Bennett, SD(6)",957,520.2,436.6,614.3,N/A , N/A , N/A,31,stable,-1.1,-2.6,0.6
"Walworth, WI - Jefferson, WI(6)",387,520,501.3,539.3,N/A , N/A , N/A,632,stable,-0.6,-1.2,0.1
"Knox (Knoxville), TN - Blount, TN(6)",147,519.9,511.2,528.8,N/A , N/A , N/A,2885,falling,-1.3,-2.2,-0.7
"Polk (Des Moines), IA - Dallas, IA(7)",546,519.7,509.3,530.1,N/A , N/A , N/A,2053,falling,-0.4,-0.6,-0.2
"Will (Joliet), IL - Grundy, IL(7)",303,519.6,509,530.4,N/A , N/A , N/A,1990,falling,-1.3,-2.1,-0.9
"Polk (Lakeland), FL - Highlands, FL(6)",202,519.5,511.1,528,N/A , N/A , N/A,3082,falling,-1.3,-1.6,-0.9
"Davison, SD - Charles Mix, SD(6)",615,519.1,483.6,556.5,N/A , N/A , N/A,171,stable,-1,-2.2,0.1
"Oneida, WI - Vilas, WI(6)",905,519,494.1,545.2,N/A , N/A , N/A,378,falling,-2.3,-9.1,-0.7
"Orleans (New Orleans), LA - Jefferson, LA(7)",403,518.7,510.1,527.5,N/A , N/A , N/A,2974,falling,-0.8,-1.1,-0.6
"Lucas, IA - Wayne, IA(7)",645,518.6,458.2,585.5,N/A , N/A , N/A,58,falling,-0.7,-1.3,-0.1
"Burleigh (Bismarck), ND - Morton, ND(6)",543,518.4,498,539.5,N/A , N/A , N/A,514,stable,-0.2,-0.7,0.3
"Cuyahoga (Cleveland), OH - Lake, OH(6)",288,518.4,512,524.8,N/A , N/A , N/A,5468,stable,0.1,-0.7,1.5
"Adams, MS - Jefferson, MS(6)",929,517.7,480.4,557.3,N/A , N/A , N/A,155,stable,-1.5,-8.8,1
"Hamblen (Morristown), TN - Jefferson, TN(6)",217,517.6,496.9,539,N/A , N/A , N/A,510,stable,-0.8,-4.9,0.1
"Shawano, WI - Langlade, WI(6)",379,517.3,487.8,548.3,N/A , N/A , N/A,253,stable,-0.7,-1.4,0
"York, ME(6)",98,517.3,500.3,534.7,N/A , N/A , N/A,765,falling,-1.3,-1.9,-0.8
"Kankakee (Kankakee), IL - Iroquois, IL(7)",343,517.2,495.1,539.9,N/A , N/A , N/A,441,falling,-1.1,-1.6,-0.6
"Custer, NE - Valley, NE(6)",594,517,464.1,574.9,N/A , N/A , N/A,78,stable,-0.7,-1.9,0.6
"Cambria, PA - Blair (Altoona), PA(6)",57,516.9,504.5,529.6,N/A , N/A , N/A,1420,falling,-1.1,-1.4,-0.8
"Massac, IL - Johnson, IL(7)",12,516.8,472.3,564.7,N/A , N/A , N/A,103,stable,-0.7,-1.8,0.3
"Lorain (Lorain), OH - Erie, OH(6)",366,516.7,505.4,528.2,N/A , N/A , N/A,1705,stable,0,-0.6,1.3
"Flathead, MT - Lincoln, MT(6)",728,516.4,494.7,539,N/A , N/A , N/A,474,stable,-0.6,-1.2,0
"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ(7)",87,516.1,506,526.4,N/A , N/A , N/A,2109,falling,-1.2,-1.7,-0.6
"Cobb (Marietta), GA(7)",190,516,505,527.1,N/A , N/A , N/A,1879,falling,-0.8,-1,-0.4
"Fillmore, NE - Thayer, NE(6)",658,515.9,445.1,596.1,N/A , N/A , N/A,43,stable,-0.4,-1.8,1
"Bay (Bay City), MI - Iosco, MI(6)",342,515.5,497.5,534,N/A , N/A , N/A,695,stable,0.7,-1.1,4.4
"Howell, MO - Oregon, MO(6)",946,515.4,482.1,550.6,N/A , N/A , N/A,192,stable,-0.4,-1.8,1
"Tulsa (Tulsa), OK - Rogers, OK(6)",414,515.4,506.2,524.7,N/A , N/A , N/A,2543,falling,-0.8,-1.4,-0.1
"Hancock (Weirton), WV - Brooke, WV(6)",924,515.2,482.6,549.8,N/A , N/A , N/A,204,rising,3.1,0.2,4.8
"DeSoto, MS - Marshall, MS(6)",146,514.9,498.6,531.7,N/A , N/A , N/A,814,stable,-3.5,-7.7,0.2
"Randolph, WV - Barbour, WV(6)",50,514.9,484.4,547.1,N/A , N/A , N/A,232,stable,0.7,-0.4,3.8
"Orange (Chapel Hill), NC - Harnett, NC(6)",203,514.8,501.5,528.4,N/A , N/A , N/A,1202,falling,-0.7,-1.1,-0.3
"Durham (Durham), NC - Granville, NC(6)",170,514.4,501.7,527.4,N/A , N/A , N/A,1327,stable,0.3,-1.2,3.3
"Platte, NE - Boone, NE(6)",651,514.3,475.6,555.4,N/A , N/A , N/A,140,falling,-1,-2,-0.1
"Erie (Erie), PA - Warren, PA(6)",880,514.2,499.8,529,N/A , N/A , N/A,1042,falling,-0.9,-1.4,-0.5
"Montgomery (Montgomery), AL - Autauga, AL(6)",171,514.2,500.3,528.4,N/A , N/A , N/A,1104,stable,0,-0.3,0.4
"Brown (Green Bay), WI - Oconto, WI(6)",278,514.2,500.3,528.3,N/A , N/A , N/A,1134,falling,-0.7,-1,-0.5
"Hunterdon, NJ - Warren (Phillipsburg), NJ(7)",93,514,497.7,530.8,N/A , N/A , N/A,827,falling,-0.9,-1.4,-0.5
"Fulton (Atlanta), GA - DeKalb, GA(7)",153,514,508.2,519.8,N/A , N/A , N/A,6873,falling,-0.7,-0.9,-0.2
"Lincoln, NE - Keith, NE(6)",593,513.9,479.4,550.4,N/A , N/A , N/A,178,stable,0,-0.7,0.6
"Howard, TX - Glasscock, TX(7)",518,513.1,467.2,562.1,N/A , N/A , N/A,100,falling,-1.2,-2.3,-0.2
"Garland, AR - Hot Spring, AR(6)",448,513,494.6,531.9,N/A , N/A , N/A,633,stable,0.3,-0.7,2.9
"Coweta, GA - Troup (La Grange), GA(7)",894,512.7,495.1,530.9,N/A , N/A , N/A,696,falling,-1.1,-3.3,-0.4
"Clayton, IA - Delaware, IA(7)",350,512.6,472.6,555.5,N/A , N/A , N/A,135,stable,-0.1,-0.5,0.4
"Montgomery (Dayton), OH - Greene, OH(6)",295,512.6,503.3,522,N/A , N/A , N/A,2469,stable,0.6,-0.3,2.9
"Greenville (Greenville), SC - Anderson, SC(6)",182,512.6,503.8,521.4,N/A , N/A , N/A,2810,falling,-1.3,-1.5,-1
"Atchison, MO - Holt, MO(6)",678,512.5,438.9,596.7,N/A , N/A , N/A,39,stable,3.7,-10.3,19
"Queen Annes, MD - Talbot, MD(6)",107,512.3,493,532.3,N/A , N/A , N/A,572,stable,-0.6,-1.5,0.3
"Kandiyohi, MN - Chippewa, MN(6)",592,512.3,485.5,540.4,N/A , N/A , N/A,295,stable,-0.2,-0.8,0.3
"Sarasota (Sarasota), FL - Charlotte, FL(6)",213,512.2,503.6,521,N/A , N/A , N/A,3569,stable,-0.1,-0.9,0.7
"Thurston (Olympia), WA - Grays Harbor, WA(7)",758,511.9,499.7,524.4,N/A , N/A , N/A,1431,falling,-0.7,-0.9,-0.5
"Baltimore, MD - Baltimore City, MD(6)",16,511.8,506.4,517.2,N/A , N/A , N/A,7403,stable,-0.6,-0.8,0
"Cass (Fargo), ND - Richland, ND(6)",940,511.8,493.2,530.8,N/A , N/A , N/A,611,falling,-1.3,-2,-0.6
"Rockingham, NH(6)",874,511.7,497.4,526.3,N/A , N/A , N/A,1074,falling,-1.7,-2.1,-1.2
"Coffee, TN - Franklin, TN(6)",239,511.6,488.5,535.6,N/A , N/A , N/A,394,falling,-0.8,-3.6,-0.2
"New London, CT(7)",20,511.6,496.1,527.4,N/A , N/A , N/A,894,stable,1.1,-0.1,3.9
"Pittsburg, OK - Pushmataha, OK(6)",466,511.5,481.4,543.2,N/A , N/A , N/A,228,stable,1.9,-0.9,8.1
"Muskingum, OH - Guernsey, OH(6)",377,511.3,494.7,528.4,N/A , N/A , N/A,786,stable,0.8,-0.4,4.3
"St. Clair (Port Huron), MI - Sanilac, MI(6)",297,511,493.5,528.9,N/A , N/A , N/A,712,stable,0.8,-1,4.5
"Carroll, IA - Sac, IA(7)",633,510.9,473,551.3,N/A , N/A , N/A,147,stable,-0.4,-0.8,0.1
"Galveston, TX(7)",532,510.7,495.7,526,N/A , N/A , N/A,970,stable,2.1,-0.4,6.5
"Grand Traverse, MI - Manistee, MI(6)",271,510.2,493.5,527.3,N/A , N/A , N/A,800,stable,0.1,-3.9,4.1
"Ohio (Wheeling), WV - Marshall, WV(6)",860,510.1,485.4,535.9,N/A , N/A , N/A,353,falling,-1.3,-2.1,-0.6
"Whiteside, IL - Carroll, IL(7)",361,510.1,482,539.4,N/A , N/A , N/A,266,stable,-0.5,-1.3,0.2
"Dyer, TN - Lauderdale, TN(6)",248,509.9,478.6,542.7,N/A , N/A , N/A,212,stable,0.7,-0.3,1.6
"Goodhue, MN(6)",370,509.8,474.6,547.3,N/A , N/A , N/A,167,stable,-0.4,-1.9,1.1
"Butte (Chico), CA - Tehama, CA(7)",697,509.6,495,524.6,N/A , N/A , N/A,978,falling,-1,-1.3,-0.6
"Lyon, MN - Lincoln, MN(6)",609,509.6,464,558.6,N/A , N/A , N/A,97,stable,-0.7,-1.7,0.2
"Monongalia, WV - Marion, WV(6)",31,509.4,491.1,528.3,N/A , N/A , N/A,620,stable,-1.2,-2.9,0.2
"Washington, PA - Fayette, PA(6)",100,508.9,496.2,521.8,N/A , N/A , N/A,1328,falling,-1.1,-1.4,-0.7
"Weakley, TN - Obion, TN(6)",897,508.9,477.3,542.1,N/A , N/A , N/A,207,falling,-6.8,-11.9,-3.9
"Chatham (Savannah), GA - Liberty, GA(7)",143,508.8,496.1,521.6,N/A , N/A , N/A,1311,stable,-0.5,-1,0
"Jefferson (Beaumont), TX - Orange, TX(7)",413,508.6,496.3,521.1,N/A , N/A , N/A,1373,stable,1.1,-0.4,3.7
"Jackson (Pascagoula), MS - George, MS(6)",471,508.6,488.1,529.7,N/A , N/A , N/A,503,stable,0.6,-0.8,3.3
"Putnam, GA - Hancock, GA(7)",201,508.5,467.6,552.6,N/A , N/A , N/A,128,stable,-0.3,-1,0.4
"Santa Cruz, CA(7)",802,508.4,492.1,525.2,N/A , N/A , N/A,813,rising,3.7,1.7,7.3
"Raleigh, WV - Fayette, WV(6)",60,508.4,488.4,529,N/A , N/A , N/A,538,stable,-0.3,-1.1,0.5
"Elk, PA(6)",125,508.3,466.5,553.3,N/A , N/A , N/A,122,falling,-2.5,-5.6,-1.3
"Carter, OK - Marshall, OK(6)",474,508.1,480.5,537,N/A , N/A , N/A,267,stable,-0.3,-0.6,0.1
"Marion, OH - Crawford, OH(6)",354,507.8,490.8,525.4,N/A , N/A , N/A,712,stable,-0.5,-1.1,0.2
"Yankton, SD - Clay, SD(6)",947,507.8,472.8,544.8,N/A , N/A , N/A,166,rising,2.2,0.2,6.9
"Lauderdale, MS - Neshoba, MS(6)",926,507.4,486,529.5,N/A , N/A , N/A,449,stable,-0.3,-1.7,3
"Rutherford (Murfreesboro), TN - Warren, TN(6)",211,507.3,492.5,522.4,N/A , N/A , N/A,986,stable,-0.6,-4.2,0.4
"Cedar, NE - Knox, NE(6)",578,507.2,450,570.5,N/A , N/A , N/A,64,stable,3.9,-2,14.6
"Pitt, NC - Beaufort, NC(6)",195,507.2,490.3,524.6,N/A , N/A , N/A,738,stable,0.6,-0.3,2.2
"Payne, OK - Pawnee, OK(6)",472,507,479.9,535.3,N/A , N/A , N/A,273,stable,-0.7,-1.6,0.2
"Hamilton (Cincinnati), OH - Butler, OH(6)",901,506.6,500.1,513.3,N/A , N/A , N/A,4872,stable,0.7,-0.9,2.4
"Buncombe (Asheville), NC - Henderson, NC(6)",225,506.6,495.9,517.5,N/A , N/A , N/A,1824,falling,-0.7,-1.1,-0.3
"Kootenai, ID - Bonner, ID(7)",734,506.4,490.9,522.3,N/A , N/A , N/A,889,falling,-1,-1.3,-0.6
"Martin, MN(6)",958,506.3,454.4,563.1,N/A , N/A , N/A,78,stable,-0.9,-2.5,0.9
"Crawford, IA(7)",681,506.2,445.7,573.1,N/A , N/A , N/A,53,stable,-0.4,-1.1,0.5
"Coos, NH(6)",138,506.2,467,548.4,N/A , N/A , N/A,139,stable,-1,-2.1,0.1
"Hartford (Hartford), CT - Tolland, CT(7)",4,506,498.3,513.8,N/A , N/A , N/A,3470,stable,0.1,-0.3,0.8
"Alleghany Cnty & Clifton Forge Cty, VA - Covington City, VA(6)",30,505.9,460.6,555.1,N/A , N/A , N/A,101,stable,0.1,-1.6,1.8
